SPECIES,id_level,nei_levels,excluded,farmed,wild_caught,farmed_only
PGS,Species,NA,included,yes,NA,yes
HTF,Species,NA,included,yes,NA,yes
CSY,Nei,genus,included,yes,yes,NA
FSI,Nei,order,included,yes,yes,NA
ELE,Species,NA,included,yes,yes,NA
ELJ,Species,NA,included,yes,yes,NA
ELA,Species,NA,included,yes,yes,NA
ELU,Species,NA,included,yes,yes,NA
AAR,Species,NA,included,yes,NA,yes
ELX,Nei,genus,included,yes,yes,NA
AGK,Species,NA,included,NA,yes,NA
MMH,Species,NA,included,NA,yes,NA
MDZ,Nei,genus,included,NA,yes,NA
MUI,Nei,family,included,NA,yes,NA
DPC,Species,NA,included,yes,yes,NA
PCX,Nei,genus,included,NA,yes,NA
CXP,Species,NA,included,NA,yes,NA
COE,Species,NA,included,NA,yes,NA
COS,Species,NA,included,NA,yes,NA
COA,Species,NA,included,NA,yes,NA
ELS,Species,NA,included,NA,yes,NA
COX,Nei,family,included,NA,yes,NA
OOH,Species,NA,included,NA,yes,NA
AOM,Species,NA,included,NA,yes,NA
AWW,Species,NA,included,NA,yes,NA
OWX,Nei,family,included,NA,yes,NA
SDC,Species,NA,included,NA,yes,NA
GAR,Species,NA,included,NA,yes,NA
BAF,Species,NA,included,NA,yes,NA
NFA,Species,NA,included,NA,yes,NA
BTS,Species,NA,included,NA,yes,NA
NED,Nei,genus,included,NA,yes,NA
BEN,Nei,family,included,NA,yes,NA
SAU,Species,NA,included,NA,yes,NA
SAP,Species,NA,included,NA,yes,NA
HAJ,Species,NA,included,NA,yes,NA
BAL,Species,NA,included,NA,yes,NA
BHA,Species,NA,included,NA,yes,NA
HZR,Species,NA,included,NA,yes,NA
HAX,Nei,genus,included,NA,yes,NA
JKX,Nei,family,included,NA,yes,NA
JFL,Species,NA,included,NA,yes,NA
FLY,Nei,family,included,NA,yes,NA
MOY,Species,NA,included,NA,yes,NA
MRL,Nei,genus,included,NA,yes,NA
MHJ,Species,NA,included,NA,yes,NA
LMG,Species,NA,included,NA,yes,NA
RIB,Species,NA,included,NA,yes,NA
NEC,Species,NA,included,NA,yes,NA
TPG,Species,NA,included,NA,yes,NA
ANT,Species,NA,included,NA,yes,NA
SAO,Species,NA,included,NA,yes,NA
MOR,Nei,family,included,NA,yes,NA
UNC,Species,NA,included,NA,yes,NA
USK,Species,NA,included,NA,yes,NA
COD,Species,NA,included,yes,yes,NA
